STANZA_NUM,ORIGINAL,TRANSLATION (GNEDICH),TRANSLATION (SHENGHELI),CANTO
,DEDICATION|||asimov-3|||,ПОСВЯЩЕНИЕ,ПОСВЯЩЕНИЕ,Dedication
1,"Bob Southey!|||asimov-4||| You’re a poet, poet laureate,|||asimov-5|||
And representative of all the race.
Although ’tis true that you turned out a Tory at
Last, yours has lately been a common case|||asimov-6|||.
And now my epic renegade, what are ye at
With all the lakers,|||asimov-7||| in and out of place?
A nest of tuneful persons, to my eye
Like “four and twenty blackbirds in a pye;|||asimov-8|||","Боб Саути! Ты — поэт, лауреат
И представитель бардов, — превосходно!
Ты ныне, как отменный тори, ат-
тестован: это модно и доходно.
Ну как живешь, почтенный ренегат?
В Озерной школе все, что вам угодно,
Поют десятки мелких голосов,
Как «в пироге волшебном хор дроздов;","Боб Саути! Вы поэт, поэт-лауреат
И представитель их народца, хоть и к тори
Сумели Вы примкнуть недавно, говорят...
Я, впрочем, не дивлюсь: подобных тьма историй.
Как поживаете, мой славный ренегат?
Всё ль Вы с лэйкистами в одном поете хоре?
Певучих сих господ я приравнять бы мог
К той «дюжине дроздов, упрятанных в пирог,",Dedication
2,"“Which pye being opened they began to sing”
(This old song and new simile holds good),
“A dainty dish to set before the King”
Or Regent, who admires such kind of food|||asimov-9|||.
And Coleridge|||asimov-10||| too has lately taken wing,
But like a hawk encumbered with his hood,
Explaining metaphysics to the nation.
I wish he would explain his Explanation|||asimov-11|||.","Когда пирог подобный подают
На королевский стол и разрезают,
Дрозды, как полагается, поют».
Принц-регент это блюдо обожает.
И Колридж-метафизик тоже тут,
Но колпачок соколику мешает:
Он многое берется объяснять,
Да жаль, что объяснений не понять.","Что вдруг запели все, когда явилось блюдо,
Вкус короля дразня, и сделан был разрез»
(Ах, чудо-песенка, и примененье — чудо:
И регент любит ведь такой деликатес!).
К ним Кольридж воспарил, неведомо откуда,
Чей соколиный взор под клобучком исчез:
О метафизике дав бриттам рассужденье,
Пусть объяснил бы он свое нам объясненье!",Dedication
3,"You, Bob! are rather insolent, you know,
At being disappointed in your wish
To supersede all warblers here below,
And be the only blackbird in the dish;
And then you overstrain yourself, or so,
And tumble downward like the flying fish
Gasping on deck, because you soar too high, Bob,
And fall for lack of moisture quite a-dry Bob.|||asimov-12|||","Ты дерзок, Боб! Я знаю, в чем тут дело!
Ведь ты мечтал, с отменным мастерством
Всех крикунов перекричав умело,
Стать в пироге единственным дроздом.
Силенки ты напряг довольно смело,
Но вмиг на землю сверзился потом.
Ты залететь не сможешь высоко, Боб!
Летать крылатой рыбе нелегко, Боб!","Вы наглы, милый Боб, тем более, что Вам
Пришлось отчаяться в своем желанье мелком
Всех птиц перекричать и, удвояя гам,
Единственным дроздом скакать по всем тарелкам.
Вы из последних сил стремитесь к небесам
И, непривычны всё ж к подобным переделкам,
Летучей рыбою на палубу вдруг — шлеп:
У Вас ведь крылышки повысохли, друг Боб!",Dedication
4,"And Wordsworth|||asimov-13||| in a rather long “Excursion”|||asimov-14|||
(I think the quarto holds five hundred pages)
Has given a sample from the vasty version
Of his new system to perplex the sages.
’Tis poetry, at least by his assertion,
And may appear so when the dog-star rages,|||asimov-15|||
And he who understands it would be able
To add a story to the tower of Babel|||asimov-16|||.","А Вордсворт наш в своей «Прогулке» длительной —
Страниц, пожалуй, больше пятисот —
Дал образец системы столь сомнительной,
Что всех ученых оторопь берет.
Считает он поэзией чувствительной
Сей странный бред; но кто там разберет,
Творенье это — или не творенье,
А Вавилонское столпотворенье!","Нам в нескончаемой раскрыл Вордсворт «Прогулке»
(Огромный фолиант, страниц, ей-ей, в пятьсот)
Системы свеженькой углы и закоулки, —
Что даже мудреца и то с ума сведет.
Он мнит поэзией сей труд пустой и гулкий;
Что́ ж — в летнюю жару он за нее сойдет,
Но кто поймет его, тот столь высокопробен,
Что Вавилонский столп построить вновь способен!",Dedication
5,"You—Gentlemen! by dint of long seclusion
From better company, have kept your own
At Keswick,|||asimov-17||| and through still continued fusion
Of one another’s minds at last have grown
To deem, as a most logical conclusion,
That poesy has wreaths for you alone:
There is a narrowness in such a notion,
Which makes me wish you’d change your lakes for ocean.|||asimov-18|||","Да, господа, вы в Кезике своем
Людей получше вас всегда чурались,
Друг друга вы читали, а потом
Друг другом изощренно восхищались.
И вы сошлись, естественно, на том,
Что лавры вам одним предназначались.
Но все-таки пора бы перестать
За океан озера принимать.","Вы — джентльмен! И всё ж, надолго удалясь
Из круга лучшего, Вы свой кружок ничтожный
Сплотили в Кесвике и столь скрепили связь
С умами всех друзей, что вывод непреложный
Созрел у Вас о том, что Вам лишь предалась
Поэзия, лишь Вам плетя венок надежный.
Столь узок этот взгляд, что мной да будет дан
Совет Вам: озеро сменить на океан.",Dedication
6,"I would not imitate the petty thought,
Nor coin my self-love to so base a vice,
For all the glory your conversion brought,
Since gold alone should not have been its price.
You have your salary; was’t for that you wrought?
And Wordsworth has his place in the Excise.|||asimov-19|||
You’re shabby fellows—true—but poets still
And duly seated on the immortal hill.","А я не смог бы до порока лести
Унизить самолюбие свое, —
Пусть заслужили вы потерей чести
И славу, и привольное житье.
В акцизе служит Вордсворт — всяк при месте;
Ваш труд оплачен — каждому свое.
Народ вы жалкий, хоть поэты все же
И на парнасский холм взобрались тоже.","Нет, не унижусь я до мелкого разврата!
Мне самолюбие не даст свалиться в ил!
Что́ Ваша слава мне, — добыча ренегата
(Помимо золота, чей тоже блеск манил)?
За труд платили Вам, но только ль деньги — плата?
И Вордсворт место ведь в акцизе получил.
Да, все вы — дрянь-народ, хоть и поэты, верно,
И на бессмертный холм взошли скучать примерно.",Dedication
7,"Your bays may hide the baldness of your brows—
Perhaps some virtuous blushes;—let them go.
To you I envy neither fruit nor boughs—
And for the fame you would engross below,
The field is universal and allows
Scope to all such as feel the inherent glow.
Scott,|||asimov-20||| Rogers,|||asimov-21||| Campbell,|||asimov-22||| Moore,|||asimov-23||| and Crabbe|||asimov-24||| will try
’Gainst you the question with posterity.|||asimov-25|||","Вы лаврами скрываете пока
И лысины и наглость, но порою
Вы все-таки краснеете слегка
Нет, я вам не завидую; не скрою —
Я не хотел бы вашего венка!
Притом ведь лавры получают с бою:
Мур, Роджерс, Кэмбел, Крабб и Вальтер Скотт —
Любой у вас всю славу отобьет.","Пусть прикрывает лавр бесстыдство ваших лбов
Иль отблеск совести, что многим не по нраву;
Храните же венки, чьих листьев и плодов
Я не хочу вовек! А подлинную славу
(Какую захватить любой из вас готов)
Все, в ком горит огонь, себе возьмут — по праву:
Скотт, Роджерс, Кемпбелл, Мур и Крэбб — настанет час —
Сумеют в будущем ее отбить у вас.",Dedication
8,"For me, who, wandering with pedestrian Muses,|||asimov-26|||
Contend not with you on the winged steed,|||asimov-27|||
I wish your fate may yield ye, when she chooses,
The fame you envy and the skill you need.
And recollect a poet nothing loses
In giving to his brethren their full meed
Of merit, and complaint of present days
Is not the certain path to future praise.|||asimov-28|||","Пусть я с моею музой прозаичной
Хожу пешком — а ваш-то конь крылат!
Но да пошлет вам бог и слог приличный,
И славу, и сноровку. Как собрат,
Я воздаю вам должное — обычный
Прием, которым многие грешат! —
Едва ль, на современность негодуя,
Хвалу потомков этим заслужу я.","А я, блуждающий с моею пешей музой,
Вас обойду: ваш конь крылат, боюсь его.
Желаю вам, чтоб рок вознес ваш дух кургузый,
Вам славу даровав, а прежде — мастерство.
Но помните: поэт не должен мнить обузой
Признание заслуг собрата своего;
А также: осыпать всё «наше время» бранью —
Совсем не верный путь к дальнейшему признанью.",Dedication
9,"He that reserves his laurels for posterity
(Who does not often claim the bright reversion)
Has generally no great crop to spare it, he
Being only injured by his own assertion;
And although here and there some glorious rarity
Arise like Titan from the sea’s immersion,|||asimov-29|||
The major part of such appellants go
To—God knows where—for no one else can know.","Но тот, кто лавры хочет получить
Лишь от потомства, должен быть скромнее:
Он сам себе ведь может повредить,
Провозгласив подобную идею.
Порой эпоха может породить
Титана, но как правило — пигмеи
Все претенденты. Им, читатель мой,
Один конец — бог ведает какой!","Кто завещает лавр потомству, редко тот
(Века к подобному наследству не ревнивы)
Богатый урожай от нивы соберет:
Он сам себя надул своей мечтой спесивой;
А если изредка из бездны бурных вод
И встанет вдруг титан, — невиданное диво, —
То большинство идет сквозь тусклые года
И канет — только бог ответит нам — куда.",Dedication
